,ID,mcg,gvh,alm,mpr,mit,erl,pox,vac,nuc,nux,outputs_class
0,0,0.58,61,0.47,asqp,0.13,0.5,0,28.8,0.22,,MIT
1,1,0.43,67,0.48,asqp,0.27,0.5,0,31.8,0.22,,MIT
2,2,0.64,62,0.49,mucx,0.15,0.5,0,31.8,0.22,,MIT
3,3,0.58,44,0.57,cdg,0.13,0.5,0,32.4,0.22,,ME1
4,4,0.42,44,0.48,mucx,0.54,0.5,0,28.8,0.22,,MIT
5,5,0.51,40,0.56,asqp,0.17,0.5,0.5,29.4,0.22,,ME1
6,6,0.5,54,0.48,mucx,0.65,0.5,0,31.8,0.22,,MIT
7,7,0.48,45,0.59,mucx,0.2,0.5,0,34.8,0.34,,ME1
8,8,0.55,50,0.66,mucx,0.36,0.5,0,29.4,0.22,,MIT
9,9,0.4,39,0.6,cdg,0.15,0.5,0,34.8,0.3,,ME1
10,10,0.43,39,0.54,mucx,0.21,0.5,0,31.8,0.27,,ME1
11,11,0.42,37,0.59,cdg,0.2,0.5,0,31.2,0.29,,ME1
12,12,0.4,42,0.57,cdg,0.35,0.5,0,31.8,0.25,,ME1
13,13,0.6,40,0.52,cdg,0.46,0.5,0,31.8,0.22,,MIT
14,14,0.66,55,0.45,asqp,0.19,0.5,0,27.6,0.22,,MIT
15,15,0.46,44,0.52,asqp,0.11,0.5,0,30,0.22,,ME1
16,16,0.47,39,0.5,mucx,0.11,0.5,0,29.4,0.4,,ME1
17,17,0.58,47,0.54,cdg,0.11,0.5,0,30.6,0.26,,ME1
18,18,0.5,34,0.55,mucx,0.21,0.5,0,29.4,0.22,,ME1
19,19,0.61,60,0.55,asqp,0.21,0.5,0,30,0.25,,ME1
20,20,0.45,40,0.5,mucx,0.16,0.5,0,30,0.22,,ME1
21,21,0.43,44,0.48,mucx,0.22,0.5,0,30.6,0.22,,ME1
22,22,0.73,63,0.42,mucx,0.3,0.5,0,29.4,0.22,uax,ME1
23,23,0.43,53,0.52,mucx,0.13,0.5,0,33,0.22,,ME1
24,24,0.46,53,0.52,cdg,0.15,0.5,0,34.8,0.22,,ME1
25,25,0.51,51,0.52,cdg,0.51,0.5,0,32.4,0.22,,MIT
26,26,0.59,45,0.53,mucx,0.19,0.5,0,35.4,0.27,,ME1
27,27,0.57,47,0.6,mucx,0.18,0.5,0,30.6,0.22,,ME1
28,28,0.63,67,0.57,cdg,0.24,0.5,0,29.4,0.22,,MIT
29,29,0.8,88,0.36,mucx,0.39,0.5,0,33.6,0.33,,ME1
30,30,0.53,54,0.43,mucx,0.1,0.5,0,34.2,0.32,,ME1
31,31,0.51,51,0.43,asqp,0.87,0.5,0,31.2,0.22,,MIT
32,32,0.38,61,0.61,asqp,0.12,0.5,0,31.8,0.47,,ME1
33,33,0.33,55,0.51,asqp,0.43,0.5,0,30.6,0.22,,ME1
34,34,0.78,74,0.42,asqp,0.26,0.5,0,25.8,0.22,,ME1
35,35,0.74,67,0.47,mucx,0.34,0.5,0,25.2,0.22,,ME3
36,36,0.72,61,0.45,asqp,0.3,0.5,0,32.4,0.25,,MIT
37,37,0.4,45,0.57,cdg,0.18,0.5,0,33.6,0.26,,ME1
38,38,0.59,53,0.43,mucx,0.44,0.5,0,30,0.22,,MIT
39,39,0.57,53,0.53,mucx,0.34,0.5,0,31.8,0.22,,MIT
40,40,0.86,68,0.39,asqp,0.24,0.5,0,32.4,0.22,,ME2
41,41,0.86,74,0.51,asqp,0.4,0.5,0,33,0.22,,ME2
42,42,0.79,57,0.41,asqp,0.28,0.5,0,35.4,0.22,,ME2
43,43,0.41,54,0.39,mucx,0.2,0.5,0,30.6,0.22,,ME3
44,44,0.37,36,0.56,mucx,0.18,0.5,0,28.8,0.26,uxv,ME3
45,45,0.53,31,0.58,asqp,0.39,0.5,0,28.2,0.37,,ME1
46,46,0.74,75,0.58,mucx,0.47,0.5,0,24,0.35,,ME2
47,47,0.49,39,0.52,mucx,0.29,0.5,0,28.8,0.22,,ME3
48,48,0.74,57,0.51,cdg,0.28,0.5,0,34.8,0.22,,ME3
49,49,0.42,24,0.34,mucx,0.16,0.5,0,30,0.22,uax,ME3
50,50,0.48,39,0.51,asqp,0.21,0.5,0,31.2,0.28,,ME1
51,51,0.41,53,0.45,cdg,0.14,0.5,0,31.2,0.66,,ME3
52,52,0.45,46,0.55,mucx,0.43,0.5,0,33,0.38,,ME1
53,53,0.56,48,0.58,mucx,0.27,0.5,0,30.6,0.22,,ME1
54,54,0.64,59,0.56,asqp,0.23,0.5,0,27.6,0.22,,ME1
55,55,0.64,56,0.56,asqp,0.22,0.5,0,27,0.22,,ME1
56,56,0.66,62,0.49,asqp,0.1,0.5,0,29.4,0.22,,ME1
57,57,0.53,44,0.51,asqp,0.33,0.5,0,33,0.22,,ME1
58,58,0.38,49,0.53,mucx,0.19,0.5,0,30,0.22,,ME1
59,59,0.45,58,0.48,mucx,0.67,0.5,0,31.2,0.22,,MIT
60,60,0.43,35,0.52,mucx,0.52,0.5,0,32.4,0.22,,MIT
61,61,0.37,32,0.47,mucx,0.18,0.5,0,27,0.25,,ME1
62,62,0.48,43,0.51,asqp,0.32,0.5,0,31.2,0.43,,ME1
63,63,0.41,46,0.59,cdg,0.19,0.5,0,34.8,0.27,,ME1
64,64,0.54,48,0.44,mucx,0.08,0.5,0,31.2,0.27,,ME1
65,65,0.6,47,0.45,cdg,0.22,0.5,0,30.6,0.29,,ME1
66,66,0.34,46,0.57,cdg,0.09,0.5,0,33,0.22,,ME1
67,67,0.48,54,0.55,mucx,0.12,0.5,0,30.6,0.22,,ME1
68,68,0.47,39,0.59,cdg,0.15,0.5,0,34.2,0.22,,ME1
69,69,0.81,85,0.47,cdg,0.37,0.5,0,33.6,0.22,rux,ME3
70,70,0.48,42,0.52,cdg,0.24,0.5,0,33.6,0.22,,ME1
71,71,0.58,51,0.49,mucx,0.27,0.5,0,34.2,0.29,,ME1
72,72,0.6,50,0.44,cdg,0.61,0.5,0,28.2,0.22,,MIT
73,73,0.45,55,0.54,cdg,0.66,0.5,0,28.2,0.22,,MIT
74,74,0.46,49,0.58,mucx,0.23,0.5,0,26.4,0.22,,MIT
75,75,0.49,42,0.56,mucx,0.55,0.5,0,25.2,0.25,,MIT
76,76,0.63,53,0.54,cdg,0.4,0.5,0,30,0.22,,MIT
77,77,0.5,54,0.53,cdg,0.54,0.5,0,30.6,0.27,,MIT
78,78,0.63,57,0.59,cdg,0.4,0.5,0,22.8,0.22,,MIT
79,79,0.43,57,0.51,cdg,0.49,0.5,0,28.8,0.22,,MIT
80,80,0.48,45,0.55,asqp,0.5,0.5,0,31.8,0.22,,MIT
81,81,0.5,58,0.46,cdg,0.46,0.5,0,27.6,0.22,,MIT
82,82,0.51,54,0.6,asqp,0.57,0.5,0,34.8,0.22,,MIT
83,83,0.54,52,0.63,mucx,0.37,0.5,0,27.6,0.22,,MIT
84,84,0.67,62,0.4,asqp,0.43,0.5,0.83,30,0.22,,MIT
85,85,0.28,58,0.21,asqp,0.13,0.5,0,30.6,0.22,,ME3
86,86,0.39,44,0.35,asqp,0.16,0.5,0,33,0.22,,ME3
87,87,0.8,63,0.45,asqp,0.29,0.5,0,30.6,0.22,,ME3
88,88,0.5,52,0.59,mucx,0.3,0.5,0,30.6,0.35,,ME1
89,89,0.42,47,0.52,mucx,0.41,0.5,0,31.8,0.32,,ME1
90,90,0.36,46,0.62,mucx,0.46,0.5,0,30.6,0.33,,ME1
91,91,0.46,38,0.47,cdg,0.22,0.5,0,31.2,0.27,,MIT
92,92,0.4,45,0.56,mucx,0.2,0.5,0,27,0.22,,ME1
93,93,0.33,43,0.64,cdg,0.16,0.5,0,31.2,0.52,,ME1
94,94,0.49,61,0.49,mucx,0.25,0.5,0,30,0.28,,ME1
95,95,0.38,50,0.37,asqp,0.26,0.5,0,25.8,0.22,,ME3
96,96,0.69,70,0.52,asqp,0.36,0.5,0,27.6,0.22,,ME3
97,97,0.61,72,0.39,mucx,0.33,0.5,0,34.8,0.22,uax,MIT
98,98,0.78,75,0.4,asqp,0.28,0.5,0,31.8,0.22,,MIT
99,99,0.64,57,0.57,cdg,0.27,0.5,0,22.2,0.22,uax,ME1
100,100,0.36,58,0.35,mucx,0.24,0.5,0,26.4,0.22,,ME3
101,101,0.36,43,0.39,mucx,0.12,0.5,0,29.4,0.22,,ME3
102,102,0.47,52,0.5,mucx,0.4,0.5,0,24.6,0.22,,ME1
103,103,0.48,23,0.57,cdg,0.27,0.5,0,28.8,0.47,,ME1
104,104,0.47,39,0.55,mucx,0.24,0.5,0,28.2,0.22,,ME1
105,105,0.44,59,0.36,mucx,0.16,0.5,0,31.2,0.22,,ME3
106,106,0.42,35,0.54,mucx,0.18,0.5,0,33.6,0.22,,ME1
107,107,0.3,56,0.55,cdg,0.18,0.5,0,30,0.22,,ME1
108,108,0.65,65,0.52,cdg,0.16,0.5,0,36,0.22,,ME1
109,109,0.27,60,0.48,cdg,0.23,0.5,0,33,0.22,,ME1
110,110,0.45,41,0.5,cdg,0.46,0.5,0.5,30,0.27,,ME2
111,111,0.44,52,0.41,asqp,0.23,0.5,0,30.6,0.22,,ME1
112,112,0.3,32,0.57,mucx,0.19,0.5,0,28.8,0.55,,ME1
113,113,0.4,44,0.49,cdg,0.47,0.5,0,29.4,0.27,,ME1
114,114,0.45,51,0.5,mucx,0.16,0.5,0,31.2,1,,ME1
115,115,0.45,45,0.5,cdg,0.6,0.5,0,29.4,0.22,,MIT
116,116,0.59,67,0.56,asqp,0.41,0.5,0,28.2,0.22,,MIT
117,117,0.47,47,0.57,mucx,0.48,0.5,0,28.8,0.22,,MIT
118,118,0.35,52,0.48,mucx,0.22,0.5,0,15.6,0.22,,MIT
119,119,0.47,41,0.66,asqp,0.26,0.5,0,31.8,0.22,,MIT
120,120,0.64,62,0.29,asqp,0.28,0.5,0,30.6,0.22,,MIT
121,121,0.55,53,0.55,mucx,0.46,0.5,0,31.2,0.22,,MIT
122,122,0.67,62,0.54,asqp,0.43,0.5,0,31.8,0.22,,MIT
123,123,0.59,60,0.49,mucx,0.43,0.5,0,31.8,0.31,,MIT
124,124,0.54,55,0.34,cdg,0.31,0.5,0,32.4,0.22,,ME3
125,125,0.58,62,0.54,mucx,0.17,0.5,0,28.8,0.22,,MIT
126,126,0.4,38,0.53,cdg,0.16,0.5,0,31.2,0.27,,ME1
127,127,0.46,71,0.48,cdg,0.53,0.5,0,31.8,0.22,rux,MIT
128,128,0.53,51,0.55,mucx,0.05,0.5,0,27,0.25,,ME1
129,129,0.41,40,0.59,asqp,0.47,0.5,0,28.8,0.43,uxv,ME1
130,130,0.5,64,0.57,mucx,0.15,0.5,0,28.2,0.22,,ME1
131,131,0.4,62,0.52,mucx,0.31,0.5,0,29.4,0.31,,ME1
132,132,0.6,50,0.57,cdg,0.25,0.5,0,24.6,0.26,,ME1
133,133,0.62,51,0.52,cdg,0.42,0.5,0,32.4,0.27,,ME1
134,134,0.35,58,0.54,asqp,0.16,0.5,0,30.6,0.22,,ME1
135,135,0.34,54,0.5,asqp,0.21,0.5,0,32.4,0.31,,ME1
136,136,0.39,58,0.5,mucx,0.26,0.5,0,32.4,0.59,,ME3
137,137,0.48,54,0.5,cdg,0.17,0.5,0,31.8,0.22,,ME1
138,138,0.29,32,0.58,mucx,0.15,0.5,0,30,0.3,,ME1
139,139,0.47,32,0.64,cdg,0.3,0.5,0,37.8,0.22,,ME1
140,140,0.39,47,0.56,mucx,0.16,0.5,0,28.2,0.22,,ME1
141,141,0.58,48,0.51,asqp,0.47,0.5,0,33,0.22,rax,ME1
142,142,0.64,60,0.57,cdg,0.19,0.5,0,25.8,0.22,,ME1
143,143,0.37,46,0.4,asqp,0.27,0.5,0,27,0.22,,ME1
144,144,0.43,57,0.53,cdg,0.16,0.5,0,32.4,0.22,,ME1
145,145,0.28,37,0.61,mucx,0.09,0.5,0,31.2,0.55,,ME1
146,146,0.59,48,0.5,mucx,0.14,0.5,0,27,0.25,,ME1
147,147,0.39,55,0.48,asqp,0.31,0.5,0,32.4,0.29,,ME1
148,148,0.26,36,0.47,cdg,0.34,0.5,0,31.8,0.72,,ME1
149,149,0.51,34,0.5,cdg,0.19,0.5,0,30,0.22,,ME1
150,150,0.58,50,0.5,mucx,0.12,0.5,0,28.8,0.25,,ME1
151,151,0.44,39,0.53,cdg,0.14,0.5,0,32.4,0.44,,ME1
152,152,0.41,39,0.44,asqp,0.34,0.5,0,28.8,0.4,,ME1
153,153,0.45,43,0.51,cdg,0.24,0.5,0,32.4,0.33,,ME1
154,154,0.36,68,0.46,mucx,0.16,0.5,0,31.8,0.28,,ME1
155,155,0.42,31,0.5,cdg,0.15,0.5,0,31.8,0.22,,ME1
156,156,0.42,43,0.56,cdg,0.1,0.5,0,29.4,0.22,uxv,ME1
157,157,0.67,71,0.52,mucx,0.65,0.5,0,31.8,0.36,,ME1
158,158,0.49,47,0.53,cdg,0.16,0.5,0,28.8,0.27,,ME1
159,159,0.71,59,0.48,mucx,0.43,0.5,0,35.4,0.22,rax,MIT
160,160,0.4,42,0.71,cdg,,0.5,0,32.4,0.32,,ME1
161,161,0.4,42,0.71,mucx,0.21,0.5,0,32.4,0.32,,ME1
162,162,0.54,49,0.49,asqp,0.2,0.5,0,31.2,0.22,,ME1
163,163,0.42,51,0.5,asqp,0.12,0.5,0,31.2,0.46,,ME1
164,164,0.57,51,0.53,asqp,0.18,0.5,0,33.6,0.25,,ME1
165,165,0.35,45,0.43,cdg,0.11,0.5,0,33.6,0.22,rux,ME3
166,166,0.42,42,0.42,mucx,0.2,0.5,0,29.4,0.22,,ME3
167,167,0.26,50,0.33,mucx,0.28,0.5,0,30.6,0.22,,ME3
168,168,0.39,42,0.38,asqp,0.4,0.5,0,29.4,0.47,,ME3
169,169,0.26,44,0.3,mucx,0.11,0.5,0,30.6,0.47,,ME3
170,170,0.31,44,0.53,cdg,0.23,0.5,0,30.6,0.32,,ME1
171,171,0.48,61,0.44,cdg,0.2,0.5,0,28.2,0.22,,ME1
172,172,0.66,45,0.5,cdg,0.23,0.5,0,29.4,0.22,,ME1
173,173,0.21,41,0.55,cdg,0.11,0.5,0,30,0.27,,ME1
174,174,0.38,68,0.44,cdg,0.45,0.5,0,31.8,0.22,,MIT
175,175,0.44,38,0.48,cdg,0.32,0.5,0.83,31.8,0.22,,ME2
176,176,0.31,31,0.56,cdg,0.33,0.5,0,31.2,0.33,,ME1
177,177,0.49,31,0.49,asqp,0.35,0.5,0,30.6,0.29,,ME1
178,178,0.38,37,0.56,asqp,0.21,0.5,0,29.4,0.22,,ME1
179,179,0.39,40,0.53,cdg,0.67,0.5,0,28.2,0.22,,ME1
180,180,0.24,34,0.69,mucx,0.18,0.5,0,31.2,0.22,,ME1
181,181,0.49,43,0.51,mucx,0.13,0.5,0,28.2,0.22,uxv,ME1
182,182,0.54,38,0.52,asqp,0.18,0.5,0,28.8,0.22,,ME1
183,183,0.43,57,0.53,cdg,0.53,0.5,0,31.8,0.25,,ME1
184,184,0.48,64,0.61,mucx,0.23,0.5,0,36,0.22,,ME1
185,185,0.31,55,0.52,asqp,0.17,0.5,0,31.2,0.22,,ME1
186,186,0.32,57,0.5,cdg,0.15,0.5,0,31.8,0.22,,ME1
187,187,0.32,42,0.52,asqp,0.24,0.5,0,36,0.22,,ME1
188,188,0.59,50,0.52,mucx,0.28,0.5,0,33,0.25,,ME1
189,189,0.37,42,0.51,asqp,0.11,0.5,0,34.2,0.22,,ME1
190,190,0.75,70,0.38,asqp,0.27,0.5,0,29.4,0.22,,ME1
191,191,0.61,72,0.31,mucx,0.33,0.5,0,33.6,0.22,,MIT
192,192,0.44,42,0.6,mucx,0.21,0.5,0,34.2,0.22,,ME1
193,193,0.52,51,0.51,cdg,0.54,0.5,0,33,0.27,,MIT
194,194,0.63,56,0.45,asqp,0.58,0.5,0,30.6,0.22,,MIT
195,195,0.52,56,0.54,cdg,0.53,0.5,0,27,0.22,,MIT
196,196,0.58,58,0.58,cdg,0.49,0.5,0,29.4,0.26,,MIT
197,197,0.72,62,0.34,cdg,0.29,0.5,0,33.6,0.28,,MIT
198,198,0.72,61,0.37,mucx,0.3,0.5,0,34.2,0.22,,MIT
199,199,0.46,43,0.38,asqp,0.33,0.5,0,28.8,0.28,,MIT
200,200,0.57,57,0.44,mucx,0.37,0.5,0,31.2,0.25,,MIT
201,201,0.42,31,0.62,asqp,0.12,0.5,0,24,0.22,,MIT
202,202,0.49,46,0.45,cdg,0.45,0.5,0,31.2,0.22,,MIT
203,203,0.42,58,0.41,asqp,0.65,0.5,0,27.6,0.26,,MIT
204,204,0.59,61,0.34,asqp,0.22,0.5,0,30.6,0.22,,MIT
205,205,0.52,77,0.38,cdg,0.34,0.5,0,30.6,0.22,,MIT
206,206,0.5,52,0.6,asqp,0.51,0.5,0,28.8,0.22,,MIT
207,207,0.49,60,0.43,cdg,0.56,0.5,0,21.6,0.22,,MIT
208,208,0.5,41,0.44,asqp,0.5,0.5,0,25.2,0.22,uax,MIT
209,209,0.5,40,0.56,cdg,0.7,0.5,0,30,0.22,uax,MIT
210,210,0.37,58,0.44,cdg,0.51,0.5,0,26.4,0.22,,MIT
211,211,0.55,45,0.45,asqp,0.54,0.5,0,30,0.22,,MIT
212,212,0.67,68,0.46,asqp,0.29,0.5,0,27.6,0.22,,MIT
213,213,0.53,51,0.46,mucx,0.28,0.5,0,28.8,0.22,,ME1
214,214,0.35,66,0.49,asqp,0.21,0.5,0,32.4,0.25,,ME1
215,215,0.52,40,0.6,mucx,0.12,0.5,0,33,0.22,,ME1
216,216,0.77,79,0.58,asqp,0.23,0.5,0,28.8,0.22,,ME3
217,217,0.47,46,0.59,mucx,0.49,0.5,0,33.6,0.22,,MIT
218,218,0.73,83,0.43,mucx,0.3,0.5,0,33,0.22,,ME1
219,219,0.78,74,0.58,mucx,0.25,1,0,31.8,0.22,,ME2
220,220,0.7,65,0.54,asqp,0.28,0.5,0,36,0.4,uxv,ME3
221,221,0.47,54,0.37,mucx,0.14,0.5,0,30,0.22,,ME3
222,222,0.56,52,0.48,asqp,0.17,0.5,0,27.6,0.22,,ME1
223,223,0.57,41,0.59,cdg,0.24,0.5,0,24,0.22,,ME1
224,224,0.56,41,0.58,mucx,0.21,0.5,0,25.2,0.22,,ME1
225,225,0.58,56,0.45,mucx,0.12,0.5,0,30.6,0.22,,ME1
226,226,0.53,38,0.66,mucx,0.25,0.5,0,25.8,0.22,,ME1
227,227,0.34,36,0.54,mucx,0.11,0.5,0,21.6,0.21,,ME1
228,228,0.69,61,0.38,asqp,0.27,0.5,0,31.2,0.22,,ME2
229,229,0.37,53,0.6,mucx,0.19,0.5,0.5,25.2,0.22,,ME2
230,230,0.41,45,0.53,cdg,0.17,0.5,0,30.6,0.25,,ME1
231,231,0.31,46,0.54,asqp,0.52,0.5,0,30,0.34,rux,ME1
232,232,0.36,37,0.33,mucx,0.14,0.5,0,34.2,0.31,,ME3
233,233,0.82,78,0.49,asqp,0.23,0.5,0,27.6,0.22,,ME3
234,234,0.82,75,0.54,cdg,0.23,0.5,0,27.6,0.22,,ME3
235,235,0.41,51,0.58,asqp,0.15,0.5,0,27,0.27,,ME1
236,236,0.38,51,0.75,asqp,0.17,0.5,0,33,0.22,rax,ME1
237,237,0.38,51,0.75,asqp,0.17,0.5,0,33,0.22,,ME1
238,238,0.53,44,0.51,mucx,0.33,0.5,0,31.2,0.22,,MIT
239,239,0.46,54,0.71,asqp,0.15,0.5,0,35.4,0.22,,MIT
240,240,0.4,56,0.48,cdg,0.14,0.5,0,28.2,0.22,,MIT
241,241,0.53,53,0.6,asqp,0.13,0.5,0,29.4,0.22,,MIT
242,242,0.42,57,0.72,mucx,0.22,0.5,0,34.2,0.22,,MIT
243,243,0.45,27,0.57,mucx,0.36,0.5,0,31.2,0.18,,ME1
244,244,0.2,26,0.52,mucx,0.14,0.5,0,31.8,0.44,,ME1
245,245,0.51,53,0.55,mucx,0.14,0.5,0,30.6,0.22,uxv,ME1
246,246,0.44,68,0.45,cdg,0.51,0.5,0,31.2,0.41,,MIT
247,247,0.27,39,0.66,mucx,0.11,0.5,0,26.4,0.22,,MIT
248,248,0.55,42,0.34,cdg,0.3,0.5,0,31.2,0.22,,ME3
249,249,0.34,42,0.3,mucx,0.23,0.5,0,31.8,0.22,,ME3
250,250,0.44,53,0.52,mucx,0.23,0.5,0.83,30.6,0.22,,ME2
251,251,0.59,58,0.56,cdg,0.21,0.5,0,32.4,0.33,,ME1
252,252,0.39,28,0.46,asqp,0.12,0.5,0,24.6,0.22,,ME1
253,253,0.56,43,0.54,cdg,0.16,0.5,0,30,0.22,,ME1
254,254,0.36,68,0.38,mucx,0.08,0.5,0,31.8,0.25,,ME3
255,255,0.27,36,0.6,asqp,0.33,0.5,0,22.2,0.31,,ME1
256,256,0.35,40,0.59,asqp,0.22,0.5,0,28.2,0.37,,ME1
257,257,0.42,32,0.5,asqp,0.21,0.5,0,30.6,0.22,,ME1
258,258,0.23,20,0.53,asqp,0.2,0.5,0,26.4,0.22,,ME1
259,259,0.55,54,0.56,asqp,0.22,0.5,0,30,0.37,,ME1
260,260,0.36,24,0.49,asqp,0.16,0.5,0,30.6,0.22,,ME1
261,261,0.38,48,0.59,asqp,0.22,0.5,0,27.6,0.22,,ME1
262,262,0.8,46,0.5,cdg,0.15,0.5,0,31.8,0.22,,ME1
263,263,0.6,56,0.47,asqp,0.2,0.5,0,30,0.38,,ME1
264,264,0.41,24,0.54,mucx,0.26,0.5,0,24.6,0.22,,ME1
265,265,0.47,65,0.54,mucx,0.62,0.5,0,31.8,0.36,,MIT
266,266,0.43,39,0.54,cdg,0.14,0.5,0,28.2,0.22,,ME1
267,267,0.5,51,0.52,asqp,0.09,0.5,0,28.8,0.25,,ME1
268,268,0.53,61,0.52,cdg,0.21,0.5,0,33,0.3,,ME1
269,269,0.54,42,0.41,mucx,0.16,0.5,0,31.2,0.22,,ME2
270,270,0.46,35,0.53,mucx,0.16,0.5,0,30.6,0.29,,ME1
271,271,0.46,43,0.49,mucx,0.79,0.5,0,29.4,0.63,,ME1
272,272,0.51,55,0.35,cdg,0.16,0.5,0,30.6,0.47,,ME3
273,273,0.56,52,0.55,mucx,0.19,0.5,0,32.4,0.22,,ME1
274,274,0.61,30,0.59,cdg,0.12,0.5,0,29.4,0.27,,ME1
275,275,0.37,53,0.46,mucx,0.23,0.5,0,28.2,0.22,,ME1
276,276,0.83,58,0.33,asqp,0.04,0.5,0,31.8,0.22,,ME2
277,277,0.39,45,0.53,cdg,0.18,0.5,0,32.4,0.22,,ME1
278,278,0.52,54,0.5,asqp,0.21,0.5,0,28.8,0.3,,ME1
279,279,0.35,39,0.57,mucx,0.11,0.5,0,28.8,0.22,,ME1
280,280,0.36,49,0.3,mucx,0.22,0.5,0,31.2,0.31,,ME3
281,281,0.78,70,0.32,asqp,0.23,0.5,0,31.8,0.22,,ME1
282,282,0.55,46,0.53,asqp,0.11,0.5,0,31.2,0.48,rux,ME1
283,283,0.45,56,0.54,mucx,0.32,0.5,0,34.2,0.22,,ME1
284,284,0.45,56,0.53,mucx,0.32,0.5,0,34.2,0.22,,ME1
285,285,0.29,43,0.4,asqp,0.15,0.5,0,31.8,0.22,,ME3
286,286,0.52,75,0.37,asqp,0.14,0.5,0,27.6,0.22,,ME3
287,287,0.71,56,0.39,cdg,0.27,0.5,0,31.2,0.22,rux,ME2
288,288,0.58,60,0.43,mucx,0.12,0.5,0,33,0.22,rax,ME3
289,289,0.54,65,0.49,asqp,0.34,0.5,0,31.2,0.22,,ME1
290,290,0.57,59,0.44,cdg,0.16,0.5,0,31.2,0.22,,ME2
291,291,0.59,58,0.46,asqp,0.19,0.5,0,33.6,0.27,,ME1
292,292,0.92,61,0.4,mucx,0.22,0.5,0,32.4,0.22,,ME2
293,293,0.55,56,0.45,cdg,0.14,0.5,0,32.4,0.22,,ME1
294,294,0.63,61,0.41,mucx,0.22,0.5,0,30.6,0.22,,ME3
295,295,0.58,53,0.38,mucx,0.18,0.5,0,31.2,0.22,,ME3
296,296,0.36,46,0.43,asqp,0.19,0.5,0,28.8,0.22,,ME3
297,297,0.32,47,0.55,mucx,0.12,0.5,0,31.2,0.22,,ME1
298,298,0.34,38,0.45,cdg,0.19,0.5,0,30.6,0.22,,ME2
299,299,0.62,58,0.46,asqp,0.13,0.5,0,31.8,0.22,,ME1
300,300,0.53,68,0.42,mucx,,0.5,0,31.8,0.22,,ME3
301,301,0.73,55,0.41,cdg,0.16,0.5,0,27.6,0.22,,ME2
